-0.921932 1.506087 0.6246719|-0.1689255 1.252152 0.631478|-1.704844 1.192792 0.6286331|-0.9046619 0.9327339 0.4823079|-0.8833339 0.02196002 0.6425866|-1.051225 0.02018881 0.6183832
-0.9220693 1.506127 0.6247602|-0.1687992 1.251818 0.6319495|-1.704946 1.192149 0.6288743|-0.9046209 0.9327043 0.4823769|-0.8832815 0.02207994 0.6424587|-1.051366 0.02032137 0.6184293
-0.9222181 1.506196 0.6249056|-0.1689627 1.251411 0.6324618|-1.704937 1.191243 0.6290762|-0.9045331 0.9327509 0.4824284|-0.8831923 0.02203345 0.6424135|-1.051427 0.02035761 0.6183852
-0.9223373 1.506232 0.6250501|-0.1691201 1.251046 0.6328696|-1.7049 1.190356 0.6292491|-0.9045908 0.9327589 0.4824916|-0.8833811 0.02196741 0.6424174|-1.051383 0.02031136 0.6184086
-0.922487 1.506267 0.6251839|-0.1693356 1.250481 0.6331582|-1.704917 1.189439 0.6293217|-0.9045389 0.9328233 0.4826121|-0.8833621 0.02195311 0.6424609|-1.051391 0.02028418 0.6184094
-0.9226301 1.506289 0.6253453|-0.1694014 1.250082 0.6332837|-1.704836 1.188311 0.629421|-0.9045432 0.9329989 0.482766|-0.8832734 0.02195883 0.642578|-1.05141 0.02023387 0.618458
-0.9227889 1.506317 0.6254733|-0.1694767 1.24956 0.6333079|-1.704804 1.187169 0.62946|-0.9044225 0.9331698 0.482872|-0.883208 0.02192783 0.6426501|-1.051333 0.02025175 0.6185415
-0.9229519 1.506317 0.625582|-0.1693027 1.249055 0.6334169|-1.704875 1.185959 0.6294222|-0.9042222 0.9331523 0.4829385|-0.8831809 0.02193761 0.6425436|-1.051339 0.0202105 0.6185821
-0.9231241 1.506352 0.6257046|-0.1694524 1.24827 0.6334105|-1.70489 1.184799 0.6293658|-0.9041207 0.9333125 0.4829946|-0.8831632 0.02201152 0.6425552|-1.051342 0.02016282 0.6185905
-0.9233167 1.506392 0.6258289|-0.1700518 1.24726 0.6335818|-1.704869 1.183378 0.6292702|-0.9040792 0.9333681 0.4830161|-0.8831718 0.02195263 0.6426274|-1.05129 0.02020383 0.6185671
-0.9235046 1.506476 0.6259497|-0.170121 1.246398 0.6340663|-1.704819 1.181986 0.6292417|-0.9039357 0.9334315 0.4829799|-0.8831098 0.02194476 0.6425747|-1.051162 0.02010036 0.6184949
-0.9237311 1.506534 0.6260798|-0.1703537 1.245284 0.6342882|-1.704799 1.180163 0.6291966|-0.903919 0.9334579 0.4829437|-0.8830826 0.02191806 0.6424766|-1.051151 0.02005196 0.6184589
