0.2685726 -0.1342622 -0.04590358 -0.9527515|-0.06090208 0.6303074 -0.07808465 0.7700042|-0.2101563 -0.6747301 0.2193338 0.6726562|-0.1567817 0.9770942 -0.1020459 0.1014553|-0.6926972 -0.08535497 -0.05707624 0.713882|-0.679511 -0.04430257 0.05163246 0.7305041
0.2687991 -0.1343294 -0.04601271 -0.9526728|-0.06290981 0.6307573 -0.07697102 0.7695863|-0.2115552 -0.6746088 0.219181 0.672389|-0.1568569 0.9770972 -0.1021791 0.101175|-0.6926428 -0.08534271 -0.05705491 0.7139379|-0.6795473 -0.04426327 0.05163299 0.7304727
0.2689927 -0.1345134 -0.04614062 -0.9525861|-0.06500413 0.631073 -0.07543007 0.7693059|-0.2120854 -0.6744745 0.2185723 0.6725549|-0.1568639 0.9771199 -0.1022419 0.100881|-0.6926559 -0.0853764 -0.05706506 0.7139204|-0.6794938 -0.04433334 0.05167501 0.7305152
0.2692231 -0.1346465 -0.0462104 -0.9524988|-0.06715854 0.6317998 -0.07360617 0.7687008|-0.2128402 -0.674356 0.2184207 0.6724845|-0.156976 0.9771432 -0.1022538 0.1004682|-0.6926234 -0.08532469 -0.05704657 0.7139595|-0.6794915 -0.04430528 0.05161599 0.7305233
0.2693458 -0.134785 -0.04633878 -0.9524382|-0.06978077 0.6336526 -0.07170662 0.7671201|-0.2125016 -0.6736864 0.2193827 0.6729494|-0.1570381 0.9771343 -0.1023696 0.1003399|-0.6926464 -0.08533152 -0.05698853 0.7139411|-0.6794946 -0.04427719 0.05158639 0.7305242
0.269394 -0.1348342 -0.04644639 -0.9524124|-0.07260881 0.6358995 -0.06921198 0.7652251|-0.2118462 -0.6727268 0.2204019 0.6737825|-0.1571134 0.9771373 -0.1024497 0.1001105|-0.6925897 -0.0853161 -0.05701894 0.7139955|-0.6794241 -0.04427992 0.05163341 0.7305862
0.2694222 -0.1349705 -0.04639057 -0.9523879|-0.0763595 0.6385848 -0.06607349 0.7628978|-0.2090105 -0.6701875 0.2225395 0.6764905|-0.1571642 0.9771435 -0.1025363 0.09988187|-0.6926326 -0.0852828 -0.05696942 0.7139618|-0.6794674 -0.04429122 0.05163671 0.730545
0.2693644 -0.1350346 -0.04663575 -0.9523832|-0.07846885 0.6401305 -0.06229875 0.7617049|-0.2070453 -0.6686857 0.2238431 0.678149|-0.1572853 0.9771496 -0.1025468 0.09962023|-0.6925541 -0.08529738 -0.05691515 0.7140406|-0.6794587 -0.04428314 0.05161247 0.7305553
0.2694436 -0.1350576 -0.04674252 -0.9523522|-0.08004118 0.6412712 -0.05907837 0.760838|-0.2050698 -0.667703 0.2247603 0.6794129|-0.1574112 0.9771492 -0.1025662 0.09940519|-0.6926221 -0.08525155 -0.05698662 0.7139743|-0.6793632 -0.04428287 0.05161126 0.7306442
0.2694844 -0.1351092 -0.04669547 -0.9523357|-0.08104669 0.642292 -0.05547005 0.7601418|-0.2047243 -0.6685744 0.225022 0.678573|-0.1574295 0.9771408 -0.1026988 0.09932204|-0.6926311 -0.08528093 -0.05691674 0.7139676|-0.6793914 -0.0442791 0.05159168 0.7306196
